1	Test Cases
2
3							Test Description
4	Test Case ID	Requirement Ref	Test Type	Test Level	Title	Pre-condition	Test Case Description	Step No	Test Step Description	Post-condition	Input Data	Expected result	Remarks	Testing methods
5	SEC-LOGIN-001	Login	Security Testing	System Integration Test	Login with valid credentials	User has valid account	Verify login with correct username/password	1	Open login page and enter valid credentials	User is logged in	username=lucas@gmail.com; password=lucas123	Redirect to homepage; session token created	Positive case	ECP (Equivalence Class Partitioning)
6	SEC-LOGIN-002	Login	Security Testing	System Integration Test	Login with invalid password	Account exists	Verify login fails with incorrect password	1	Enter valid username and invalid password	Login fails	username=lucas@gmail.com; password=wrongpass (123456)	Error message 'Please try to login again! Password incorrect'	Negative case	ECP (Equivalence Class Partitioning)
7	SEC-LOGIN-003	Login	Security Testing	System Integration Test	Login with non-existing user	No such account	Verify system blocks unregistered email	1	Enter unregistered email	No session created	username=lucass@test.com; password=lucas123	Message 'Please try to login again! No user found for this email address'	Negative case	ECP (Equivalence Class Partitioning)
8	SEC-LOGIN-004	Login	Security Testing	System Integration Test	Login with empty fields	—	Check input validation (required fields)	1	Leave username & password blank then click Login	Form not submitted	username= ; password= 	Error 'Email is required. Password is required.'	Validation test	ECP (Equivalence Class Partitioning)
9	SEC-LOGIN-005	Login	Security Testing	System Integration Test	Login with SQL injection input	Endpoint reachable (dev/staging)	Check if system resists SQL Injection on login endpoint (no auth granted, no DB error)	1	POST /api/auth/login with SQLi payload in email using Postman	System safe; no token issued; no stack trace exposed	{"email":"lucass@test.com","password":"lucass123"}	error "Invalid credentials"; no token; no DB stack trace	Security test — run on dev only	Security
10	SEC-LOGIN-006	Login	Security Testing	System Integration Test	Login with expired token (API)	User has old token	Verify token expiry enforcement	1	Send request with expired JWT	Token invalid	token=expired_token	Unauthorized, 'Token expired'	Token validation	ECP (Equivalence Class Partitioning)
11	SEC-LOGIN-007	Login	Security Testing	System Integration Test	Login with missing token	—	Verify token requirement	1	Call protected API without token	Blocked	—	Unauthorized, 'Token required'	Authorization test	Security
12	SEC-LOGIN-008	Login	Security Testing	System Integration Test	Login brute-force protection	—	Verify system rate limit after multiple wrong logins	1	Enter wrong password 5+ times	Account temporarily locked	username=user1@test.com	Message 'Too many attempts, try later'	Security / rate-limit test	ECP (Equivalence Class Partitioning)
13
14	SEC-REG-001	Register	Functional	System Integration Test	Register with valid info	—	Verify successful register	1	Open register page → fill valid name/email/password → Submit	Account created	name=Lucas; email=lucas@gmail.com; pw=lucas123	can login	Positive	ECP (Equivalence Class Partitioning)
15	SEC-REG-002	Register	Functional	System Integration Test	Email already exists	Email Lucas@gmail.com exists	Block duplicate email	1	Submit with existing email	Not created	email=Lucas@gmail.com	email exists	Negative	ECP (Equivalence Class Partitioning)
16	SEC-REG-003	Register	Functional	System Integration Test	Invalid email format	—	Email validation	1	Enter invalid email and submit	Not created	email=Linda@	The email format is invalid.	Validation	ECP (Equivalence Class Partitioning)
17	SEC-REG-004	Register	Functional	System Integration Test	Weak password (BVA)	—	Min length / complexity	1	Enter password length=6 and submit	Not created	password=1234	The password must be at least 6 characters	BVA OFF–	BVA (Boundary Value Analysis)
18	SEC-REG-005	Register	Security	System Integration Test	SQL Injection on register	—	Resist SQLi	1	Enter name/email as '' OR 1=1 -- and submit	Safe	name='' OR 1=1 -- ; email=t@test.com	no DB error	Security	Security
19
20	PROD-001	Product List	Functional	System Integration Test	Default listing	Seeded products	Verify list default	1	GET /api/products without page param	—	page=—	array length ≤ pageSize	—	ECP (Equivalence Class Partitioning)
21	PROD-002	Product List	Functional	System Integration Test	Pagination BVA (page=0)	Seeded products	Page boundary OFF–	1	GET /api/products?page=0	—	page=0	Bad Request	OFF–	BVA (Boundary Value Analysis)
22	PROD-003	Product List	Functional	System Integration Test	Pagination ON (page=1)	Seeded products	Valid first page	1	GET /api/products?page=1	—	page=1	OK	ON	ECP (Equivalence Class Partitioning)
23	PROD-004	Product Search	Functional	System Integration Test	Keyword search	Products include 'iphone'	Search by q	1	GET /api/products?q=iphone	—	q=iphone	items contain 'iphone'	ECP	ECP (Equivalence Class Partitioning)
24	PROD-005	Product Filter	Functional	System Integration Test	Brand+Sort	Have brand=Apple	Combine filters	1	GET /api/products?brand=Apple&sort=price_desc	—	brand=Apple; sort=price_desc	sorted DESC by price	Pairwise	ECP (Equivalence Class Partitioning)
25	PROD-006	Price Range	Functional	System Integration Test	BVA price range	Seeded prices	Min/max edges	1	GET /api/products?min=0&max=999999	—	min=0; max=999999	all within range	BVA	BVA (Boundary Value Analysis)
26	PROD-007	Product Detail	Functional	System Integration Test	Get by id (exist)	Known id	Detail OK	1	GET /api/products/:id	—	id=validId	full object	Positive	ECP (Equivalence Class Partitioning)
